timestamp_ms,cpu_percent,used_memory_mb
1761618631433,23.57,16111.30
1761618631637,21.88,16111.30
1761618631837,21.25,16111.30
1761618632037,24.22,16111.30
1761618632237,24.68,16111.30
1761618632437,24.53,16105.13
1761618632633,0.00,16101.19
1761618632837,0.00,16106.33
1761618633036,0.00,16105.64
1761618633237,23.46,16104.69
1761618633437,27.16,16098.55
1761618633636,20.63,16097.75
1761618633837,21.52,16096.98
1761618634037,22.36,16084.17
1761618634237,22.36,16081.75
1761618634438,28.48,16080.45
1761618634636,20.75,16080.88
1761618634837,22.50,16082.45
1761618635037,22.01,16085.22
1761618635237,22.01,16084.00
1761618635437,26.25,16082.05
1761618635637,36.71,16077.72
1761618635834,36.08,16076.44
1761618636037,38.04,16064.06
1761618636236,33.96,16063.59
1761618636437,35.63,16063.59
1761618636632,32.47,16063.59
1761618636837,35.54,16073.84
1761618637034,34.39,16061.73
1761618637237,33.33,16136.34
1761618637437,35.44,16204.88
1761618637637,45.28,16223.64
1761618637836,35.63,16229.58
1761618638037,42.14,16239.66
1761618638237,33.95,16238.28
1761618638437,32.08,16235.84
1761618638635,33.75,16235.73
1761618638837,33.75,16234.88
1761618639037,33.13,16232.08
1761618639236,32.28,16231.14
1761618639437,48.73,16227.31
1761618639637,32.10,16225.34
1761618639833,33.54,16225.34
1761618640033,35.85,16225.34
1761618640237,47.85,16230.91
1761618640437,28.21,16230.77
1761618640637,0.00,16228.22
1761618640837,0.00,16224.13
1761618641037,0.00,16219.89
1761618641234,0.00,16220.55
1761618641437,36.86,16221.81
1761618641637,32.48,16220.63
1761618641835,44.38,16221.72
1761618642037,36.65,16215.11
1761618642237,0.00,16208.28
1761618642437,0.00,16205.81
1761618642637,24.22,16205.33
1761618642837,18.87,16205.20
1761618643037,19.50,16205.20
1761618643233,0.00,16205.20
1761618643437,0.00,16205.20
1761618643637,22.96,16210.98
1761618643834,21.15,16210.59
1761618644037,20.99,16209.55
1761618644234,23.90,16204.64
1761618644435,21.25,16207.05
1761618644637,17.72,16206.45
1761618644837,20.00,16204.92
1761618645036,22.50,16203.75
1761618645237,24.38,16202.53
1761618645437,20.89,16202.53
1761618645637,18.35,16202.53
1761618645837,20.37,16202.91
1761618646032,21.15,16200.06
1761618646235,22.09,16209.06
1761618646437,21.88,16207.84
1761618646637,20.25,16207.08
1761618646837,21.38,16206.48
1761618647037,27.16,16206.64
1761618647237,22.64,16204.25
1761618647433,22.44,16202.33
1761618647633,19.50,16201.16
1761618647837,21.95,16199.44
1761618648035,22.44,16197.58
1761618648237,25.93,16204.84
1761618648435,20.25,16204.56
1761618648637,20.00,16203.36
1761618648837,22.36,16202.78
1761618649037,24.68,16203.95
1761618649237,25.00,16203.95
1761618649437,0.00,16203.95
1761618649633,0.00,16203.95
1761618649837,0.00,16203.95
1761618650033,0.00,16204.03
1761618650237,22.58,16205.88
1761618650437,24.53,16207.08
1761618650637,20.75,16206.63
1761618650837,22.64,16209.22
1761618651033,0.00,16207.92
1761618651233,0.00,16205.22
1761618651437,22.48,16207.97
1761618651637,22.70,16208.11
1761618651837,21.38,16206.89
1761618652037,22.64,16204.75
1761618652237,0.00,16209.52
1761618652434,0.00,16206.38
1761618652637,25.00,16206.38
1761618652837,22.64,16206.38
1761618653033,21.29,16206.38
1761618653236,22.50,16209.27
1761618653437,24.69,16207.13
1761618653635,20.75,16205.94
1761618653837,21.25,16203.95
1761618654037,22.64,16203.95
1761618654237,20.75,16203.77
1761618654437,20.89,16203.30
1761618654637,19.50,16202.73
1761618654837,22.84,16208.95
1761618655034,29.94,16208.80
1761618655237,25.93,16208.80
1761618655437,19.62,16208.16
1761618655637,22.98,16207.19
1761618655837,25.62,16209.31
1761618656037,21.38,16208.80
1761618656237,23.13,16208.80
1761618656437,18.75,16217.50
1761618656637,21.79,16216.09
1761618656837,23.46,16216.09
1761618657037,32.30,16216.09
1761618657237,22.44,16216.09
1761618657433,25.32,16216.09
1761618657637,24.07,16109.16
1761618657837,24.53,16108.75
1761618658034,0.00,16108.13
1761618658237,23.82,16106.08
1761618658433,27.27,16106.08
1761618658633,23.90,16106.08
1761618658837,18.29,16098.33
1761618659037,0.00,16097.47
1761618659237,0.00,16096.97
1761618659437,20.75,16095.31
1761618659637,29.45,16091.47
1761618659837,20.75,16078.89
1761618660033,24.36,16128.92
1761618660235,21.25,16132.13
1761618660437,21.25,16132.13
1761618660637,23.60,16132.13
1761618660833,26.45,16132.13
1761618661035,22.56,16122.42
1761618661234,19.23,16121.55
1761618661436,24.07,16118.64
1761618661637,21.74,16118.31
1761618661837,25.47,16114.30
1761618662037,26.58,16113.27
1761618662237,31.25,16102.16
1761618662437,32.30,16105.78
1761618662632,35.48,16109.45
1761618662837,30.43,16109.45
1761618663037,41.25,16109.45
1761618663237,0.00,16103.50
1761618663437,0.00,16102.89
1761618663637,0.00,16106.42
1761618663837,0.00,16098.17
1761618664037,30.83,16097.92
1761618664233,20.51,16104.67
1761618664433,25.16,16100.78
1761618664635,20.99,16100.47
1761618664837,23.13,16100.47
1761618665037,22.50,16100.47
1761618665237,24.38,16100.47
