timestamp_ms,book_id,latency_ms,cpu_percent,used_memory_mb,total_memory_mb
1761825240927,37946,606.869,0.14,22.99,4112.52
1761825241537,23023,608.260,0.27,23.27,4112.52
1761825242147,3907,608.553,0.28,23.27,4112.52
1761825242755,4307,606.461,0.14,23.73,4112.52
1761825243365,24435,609.250,0.28,23.73,4112.52
1761825243977,69256,610.780,0.27,23.73,4112.52
1761825244594,1120,615.695,0.27,23.89,4112.52
1761825245206,29079,610.478,0.41,24.19,4112.52
1761825245823,15999,615.791,0.14,24.19,4112.52
1761825246436,62054,611.256,0.28,24.46,4112.52
1761825247048,34173,610.915,0.41,24.46,4112.52
1761825247659,1132,610.015,0.28,24.46,4112.52
1761825248272,44572,610.657,0.14,24.94,4112.52
1761825248881,48194,607.554,0.28,24.94,4112.52
1761825249490,16750,607.865,0.14,24.94,4112.52
1761825250101,60733,610.094,0.28,25.10,4112.52
1761825250712,7290,609.485,0.28,25.40,4112.52
1761825251322,52410,609.286,0.28,25.59,4112.52
1761825251938,19971,612.333,0.54,26.03,4112.52
1761825252547,7070,607.674,0.28,26.03,4112.52
1761825253152,28061,603.841,0.14,26.34,4112.52
1761825253757,51352,603.909,0.00,26.49,4112.52
1761825254363,27304,604.492,0.14,26.49,4112.52
1761825254971,57386,606.951,0.14,26.56,4112.52
1761825255585,18748,610.370,0.14,26.86,4112.52
1761825256190,21005,604.880,0.14,27.02,4112.52
1761825256800,68454,608.395,0.28,27.02,4112.52
1761825257410,6687,609.208,0.14,27.02,4112.52
1761825258021,24515,610.152,0.41,27.18,4112.52
1761825258635,42178,612.265,0.27,27.50,4112.52
1761825259250,19870,613.091,0.41,27.50,4112.52
1761825259875,41622,620.685,0.27,27.85,4112.52
1761825260487,65271,610.668,0.41,27.85,4112.52
1761825261099,33300,611.203,0.27,28.15,4112.52
1761825261713,38846,612.271,0.27,28.31,4112.52
1761825262342,28228,612.222,0.54,28.59,4112.52
1761825262952,31068,608.517,0.14,28.66,4112.52
1761825263563,4056,607.461,0.28,28.96,4112.52
1761825264174,15384,609.662,0.28,29.12,4112.52
1761825264784,65636,609.423,0.28,29.12,4112.52
1761825265392,41235,607.476,0.14,29.12,4112.52
1761825266004,13680,610.258,0.14,29.28,4112.52
1761825266619,14084,608.977,0.27,29.60,4112.52
1761825267229,57633,609.038,0.14,29.60,4112.52
1761825267852,44201,617.190,0.41,29.76,4112.52
1761825268462,10697,609.797,0.14,29.95,4112.52
1761825269073,5251,609.149,0.14,30.25,4112.52
1761825269684,1069,609.735,0.55,30.41,4112.52
1761825270292,15798,607.174,0.14,30.41,4112.52
1761825270903,33212,610.258,0.14,30.57,4112.52
1761825271518,66495,611.564,0.55,30.75,4112.52
1761825272129,64622,609.642,0.14,30.75,4112.52
1761825272747,61669,610.085,0.41,31.19,4112.52
1761825273358,10600,610.027,0.27,31.51,4112.52
1761825273970,41905,609.797,0.28,31.51,4112.52
1761825274582,32009,611.455,0.27,31.67,4112.52
1761825275196,40878,612.228,0.27,31.67,4112.52
1761825275809,39331,611.621,0.41,31.98,4112.52
1761825276420,55168,609.785,0.27,32.14,4112.52
1761825277034,32049,609.969,0.28,32.32,4112.52
1761825277643,16961,608.526,0.28,32.32,4112.52
1761825278251,53782,606.888,0.28,32.79,4112.52
1761825278861,55665,608.451,0.28,32.79,4112.52
1761825279472,34372,610.301,0.14,32.79,4112.52
1761825280084,53332,610.319,0.41,32.85,4112.52
1761825280697,15655,612.598,0.00,33.01,4112.52
1761825281309,38753,610.101,0.41,33.33,4112.52
1761825281916,26985,606.029,0.14,33.33,4112.52
1761825282524,9717,607.442,0.14,33.49,4112.52
1761825283141,24410,608.893,0.27,33.77,4112.52
1761825283747,59089,606.017,0.28,34.07,4112.52
1761825284362,55426,613.536,0.14,34.23,4112.52
1761825284970,21603,607.021,0.14,34.42,4112.52
1761825285587,20934,615.614,0.41,34.42,4112.52
1761825286203,31021,610.271,0.14,34.88,4112.52
1761825286812,36410,607.770,0.00,34.88,4112.52
1761825287424,53625,610.630,0.41,34.88,4112.52
1761825288035,43965,608.951,0.00,34.95,4112.52
1761825288644,69329,608.335,0.14,35.11,4112.52
1761825289255,45913,609.476,0.14,35.41,4112.52
1761825289870,47370,613.841,0.27,35.41,4112.52
1761825290482,60399,611.091,0.14,35.57,4112.52
1761825291099,48171,614.096,0.68,35.57,4112.52
1761825291712,33149,611.475,0.14,35.89,4112.52
1761825292325,58053,610.892,0.27,36.05,4112.52
1761825292937,59429,611.183,0.14,36.05,4112.52
1761825293558,324,611.389,0.54,36.52,4112.52
1761825294167,133,608.191,0.14,36.98,4112.52
1761825294778,13131,609.603,0.00,36.98,4112.52
1761825295389,66447,609.191,0.28,36.98,4112.52
1761825296001,68199,610.976,0.28,37.05,4112.52
1761825296610,43608,608.016,0.14,37.51,4112.52
1761825297220,54034,609.567,0.28,37.51,4112.52
1761825297831,27443,609.685,0.41,37.51,4112.52
1761825298443,15724,610.266,0.14,37.67,4112.52
1761825299056,5447,611.210,0.14,37.67,4112.52
1761825299668,66520,610.882,0.27,37.99,4112.52
1761825300278,62749,608.667,0.14,38.15,4112.52
1761825300890,63720,610.335,0.14,38.15,4112.52
1761825301497,45774,606.159,0.28,38.15,4112.52
1761825302107,66677,608.311,0.00,38.80,4112.52
1761825302717,63025,607.313,0.14,38.80,4112.52
1761825303327,51262,608.861,0.28,38.80,4112.52
1761825303939,67859,607.831,0.41,39.14,4112.52
1761825304548,49347,607.678,0.14,39.61,4112.52
1761825305160,37067,611.179,0.41,39.61,4112.52
1761825305771,47807,609.371,0.14,39.61,4112.52
1761825306382,17538,609.678,0.14,39.77,4112.52
1761825306991,32385,607.478,0.14,40.07,4112.52
1761825307599,40119,606.756,0.28,40.07,4112.52
1761825308210,41332,609.650,0.28,40.23,4112.52
1761825308821,57947,609.587,0.28,40.23,4112.52
1761825309431,37272,608.979,0.14,40.23,4112.52
1761825310042,47891,609.349,0.41,40.90,4112.52
1761825310654,68467,610.149,0.14,40.90,4112.52
1761825311264,18302,608.750,0.14,40.90,4112.52
1761825311875,52900,609.940,0.28,41.05,4112.52
1761825312480,22010,604.618,0.14,41.24,4112.52
1761825313087,67369,605.911,0.00,41.24,4112.52
1761825313701,10335,613.149,0.14,41.40,4112.52
1761825314310,54321,605.252,0.28,42.00,4112.52
1761825314920,42105,608.888,0.55,42.00,4112.52
1761825315529,36267,607.492,0.14,42.16,4112.52
1761825316137,17831,606.805,0.14,42.16,4112.52
1761825316745,44574,606.774,0.14,42.46,4112.52
1761825317357,25859,610.154,0.41,42.62,4112.52
1761825317967,43961,609.063,0.14,42.62,4112.52
1761825318579,6788,610.319,0.28,42.81,4112.52
1761825319188,25848,607.517,0.14,43.27,4112.52
1761825319801,68290,611.634,0.27,43.27,4112.52
1761825320414,52370,611.627,0.14,43.27,4112.52
1761825321023,58030,607.690,0.14,43.34,4112.52
1761825321638,20720,613.864,0.27,43.50,4112.52
1761825322248,35535,609.467,0.14,43.82,4112.52
1761825322857,14702,607.601,0.14,43.82,4112.52
1761825323464,6678,605.310,0.00,43.98,4112.52
1761825324076,6559,609.699,0.14,43.98,4112.52
1761825324690,52377,607.409,0.41,44.56,4112.52
1761825325298,60472,607.210,0.14,44.72,4112.52
1761825325905,23308,605.310,0.14,44.72,4112.52
1761825326516,5027,609.609,0.14,44.72,4112.52
1761825327129,15899,611.014,0.41,45.37,4112.52
1761825327737,57306,607.386,0.28,45.37,4112.52
1761825328345,48822,606.174,0.14,45.37,4112.52
1761825328960,50059,609.516,0.14,45.43,4112.52
1761825329572,64736,610.667,0.55,45.90,4112.52
1761825330184,60986,610.955,0.41,45.90,4112.52
1761825330790,18410,604.805,0.14,45.90,4112.52
1761825331408,9328,615.119,0.14,46.06,4112.52
1761825332016,20336,607.128,0.28,46.06,4112.52
1761825332623,9640,606.542,0.14,46.38,4112.52
1761825333238,38654,608.076,0.14,46.54,4112.52
1761825333852,16006,611.653,0.14,46.54,4112.52
1761825334469,708,607.416,0.27,46.54,4112.52
1761825335964,3334,652.171,0.00,12.12,4112.52
1761825336580,48500,609.939,0.55,12.77,4112.52
1761825337195,26045,614.052,0.55,13.10,4112.52
1761825337812,51670,614.859,0.41,13.57,4112.52
1761825338430,38443,615.949,0.55,13.88,4112.52
1761825339055,62601,623.884,0.27,14.22,4112.52
1761825339667,69617,610.090,0.41,14.69,4112.52
1761825340278,8716,609.861,0.41,15.38,4112.52
1761825340889,35114,609.892,0.28,15.69,4112.52
1761825341507,27682,615.948,0.55,16.01,4112.52
1761825342120,22355,611.983,0.41,16.32,4112.52
1761825342737,19830,615.724,0.27,16.79,4112.52
1761825343369,1917,628.719,0.53,17.10,4112.52
1761825343987,15615,616.326,0.54,17.41,4112.52
1761825344604,59252,615.718,0.55,17.88,4112.52
1761825345220,20472,614.338,0.41,18.41,4112.52
1761825345832,58699,610.792,0.28,18.71,4112.52
1761825346479,60881,605.931,0.65,19.71,4112.52
1761825347092,50691,611.610,0.28,20.03,4112.52
1761825347704,59049,610.959,0.27,20.20,4112.52
1761825348320,50834,614.435,0.27,20.68,4112.52
1761825348938,51091,617.118,0.68,21.21,4112.52
1761825349552,43856,612.926,0.55,21.53,4112.52
1761825350168,27973,614.888,0.27,21.99,4112.52
1761825350784,17069,613.862,0.27,22.29,4112.52
1761825351401,40504,615.188,0.55,22.68,4112.52
1761825352021,42566,619.688,0.27,23.15,4112.52
1761825352635,35012,612.581,0.27,23.46,4112.52
1761825353256,42313,619.558,0.54,23.77,4112.52
1761825353870,26694,613.404,0.41,24.24,4112.52
1761825354490,3350,613.074,0.27,24.40,4112.52
1761825355103,60605,611.663,0.41,24.79,4112.52
1761825355719,34640,614.394,0.27,25.28,4112.52
1761825356335,39580,614.724,0.27,25.59,4112.52
1761825356949,57499,608.047,0.41,26.36,4112.52
1761825357561,26311,610.364,0.14,26.97,4112.52
1761825358171,39187,609.975,0.28,27.31,4112.52
1761825358783,4060,610.978,0.55,27.63,4112.52
1761825359394,630,610.210,0.14,28.09,4112.52
1761825360006,17973,610.363,0.14,28.39,4112.52
1761825360615,67398,608.868,0.28,28.59,4112.52
1761825361229,40959,613.247,0.55,29.05,4112.52
1761825361852,28169,621.650,0.54,29.39,4112.52
1761825362467,8865,613.122,0.14,29.73,4112.52
1761825363079,43086,611.138,0.28,30.20,4112.52
1761825363688,27112,608.187,0.42,30.51,4112.52
1761825364299,25897,610.233,0.14,30.69,4112.52
1761825364913,13079,612.332,0.27,31.38,4112.52
1761825365540,48373,625.452,0.40,31.68,4112.52
1761825366155,23303,613.247,0.27,32.00,4112.52
1761825366769,38892,613.196,0.41,32.47,4112.52
1761825367389,37017,613.368,0.41,33.13,4112.52
1761825368003,28167,612.106,0.41,33.44,4112.52
1761825368617,36694,612.785,0.41,33.91,4112.52
1761825369233,39037,614.539,0.41,34.22,4112.52
1761825369861,18119,626.444,0.40,34.53,4112.52
1761825370477,14898,614.429,0.27,34.88,4112.52
1761825371092,47965,613.665,0.41,35.19,4112.52
1761825371709,40741,616.203,0.27,35.52,4112.52
1761825372322,4131,611.026,0.28,36.02,4112.52
1761825372936,6024,613.431,0.27,36.34,4112.52
1761825373549,8653,611.540,0.14,36.83,4112.52
1761825374160,64538,610.230,0.41,37.48,4112.52
1761825374776,50797,614.538,0.41,37.78,4112.52
1761825375394,45714,616.789,0.41,38.10,4112.52
1761825376009,43131,614.225,0.41,38.56,4112.52
1761825376624,29247,613.049,0.27,38.86,4112.52
1761825377235,37946,610.379,0.41,39.08,4112.52
1761825377853,23023,613.621,0.41,39.84,4112.52
1761825378471,3907,616.772,0.54,40.16,4112.52
1761825379085,4307,612.273,0.14,40.47,4112.52
1761825379698,24435,612.294,0.41,40.95,4112.52
