timestamp_ms,term,latency_ms,cpu_percent,used_memory_mb,total_memory_mb
1761606735906,love,30617.393,0.04,11.15,4294.97
1761606735908,book,30618.424,27.62,11.15,4294.97
1761606735909,war,30620.070,0.47,11.15,4294.97
1761606766537,war,30613.373,0.05,12.10,4294.97
1761606766538,love,30614.867,29.23,12.10,4294.97
1761606766539,death,30616.200,45.85,12.10,4294.97
1761606766540,science,30615.833,39.69,12.10,4294.97
1761606797151,science,30611.139,0.04,12.34,4294.97
1761606797153,book,30613.380,258.93,12.34,4294.97
1761606797154,war,30610.338,40.81,12.34,4294.97
1761606797154,death,30610.629,57.21,12.34,4294.97
1761606827769,science,30613.969,0.03,12.36,4294.97
1761606827770,love,30617.418,45.33,12.36,4294.97
1761606827771,book,30616.068,0.00,12.36,4294.97
1761606858389,book,30615.623,0.03,12.67,4294.97
1761606858391,death,30617.413,137.94,12.67,4294.97
1761606858392,war,30617.321,34.40,12.67,4294.97
1761606858392,love,30616.878,44.98,12.67,4294.97
1761606889004,love,30610.453,0.04,13.85,4294.97
1761606889005,war,30612.810,22.55,13.97,4294.97
1761606889006,death,30614.391,39.00,13.97,4294.97
1761606889007,science,30615.216,49.72,13.97,4294.97
1761606919618,science,30611.456,0.02,14.08,4294.97
1761606919620,book,30612.813,41.56,14.08,4294.97
1761606950238,death,30615.629,0.04,14.32,4294.97
1761606950240,book,30616.277,50.64,14.32,4294.97
1761606950240,love,30616.501,38.78,14.32,4294.97
1761606950241,war,30616.577,42.18,14.32,4294.97
1761606980855,science,30614.514,0.03,14.67,4294.97
1761606980856,war,30613.858,47.05,14.67,4294.97
1761606980857,death,30614.157,46.24,14.67,4294.97
1761606980858,love,30614.900,33.58,14.67,4294.97
1761607011468,death,30609.774,0.03,14.69,4294.97
1761607011470,science,30611.829,44.40,14.69,4294.97
1761607011470,book,30612.081,55.86,14.69,4294.97
1761607042085,love,30611.611,0.03,16.00,4294.97
1761607042086,book,30611.850,48.59,16.00,4294.97
1761607042087,war,30612.304,35.81,16.00,4294.97
1761607042088,science,30614.411,21.67,16.00,4294.97
1761607072699,book,30609.861,0.03,16.62,4294.97
1761607072701,war,30613.360,26.11,16.62,4294.97
1761607072702,death,30615.017,39.96,16.62,4294.97
1761607072703,love,30613.341,40.29,16.62,4294.97
1761607103324,science,30622.153,0.02,16.74,4294.97
1761607103325,death,30622.019,46.66,16.74,4294.97
1761607103326,war,30620.720,46.71,16.74,4294.97
1761607133952,death,30622.755,0.03,17.38,4294.97
1761607133953,love,30624.738,75.18,17.38,4294.97
1761607133953,book,30624.455,39.23,17.38,4294.97
1761607133954,science,30624.078,43.27,17.38,4294.97
1761607164574,book,30619.629,0.03,17.45,4294.97
1761607164577,love,30623.639,15.93,17.45,4294.97
1761607164578,science,30623.079,38.22,17.45,4294.97
1761607164579,war,30624.665,38.12,17.45,4294.97
1761607195198,war,30619.961,0.02,17.46,4294.97
1761607195200,death,30624.057,26.62,17.48,4294.97
1761607225817,science,30612.822,0.04,18.20,4294.97
1761607225820,death,30616.340,24.89,18.20,4294.97
1761607225824,book,30620.610,20.76,18.20,4294.97
1761607225825,love,30621.814,20.63,18.63,4294.97
1761607256438,love,30616.815,0.03,19.04,4294.97
1761607256443,war,30625.218,11.39,19.36,4294.97
1761607256444,science,30617.769,-1.00,19.36,4294.97
1761607256445,book,30618.927,29.69,19.36,4294.97
1761607287057,death,30617.460,0.02,19.54,4294.97
1761607287061,love,30615.942,6.16,19.54,4294.97
1761607287062,war,30617.064,27.14,19.54,4294.97
1761607317674,death,30609.334,0.03,19.78,4294.97
1761607317675,science,30610.136,50.77,19.78,4294.97
1761607317676,book,30609.928,44.88,19.78,4294.97
1761607317677,war,30613.273,31.27,19.78,4294.97
1761607348288,death,30609.844,0.03,19.90,4294.97
1761607348289,book,30612.570,34.72,19.90,4294.97
1761607348289,love,30613.310,63.28,19.90,4294.97
